_id,keyword_list[0]
7232654389293613057,jewelry
7195551074438561794,
7223313322758258690,
7230642112760758273,magic necklace
7149134776729157633,ice compass pendant
7062839478570041345,jewelry
7180100720272572417,
7227845717247148034,summer dress
7225974082865446913,charm jewellery
7189956279300374529,waterproof jewellery
7203492145200775169,ayatul kursi bracelet
7232872984750522370,escapade cuff
7232761119969542146,waterproof jewelry
7161857501934600194,
7229251097839288321,moissanite ring
7212350829624852482,now available
7234109470518083586,waterproof jewelry
7217695441998364674,clover heart necklaces
7156670289300373505,
7226279462945816578,accessories
7218928091161821185,receive a free bracelet
7154058589383409665,
7147483948239142914,i love you
7205294810139623425,bow necklace
7216675356769239042,necklaces
7228888954111901698,leopard print jumpsuit
7127216383993348097,let me show you how
7232662821572919298,jewelry
7221036298130784257,skims jeep
7227101211164672002,fishing line rings
7190036502440345601,
7203615536060104706,
7227023659872813057,got you
7188278768359407617,message jewelry
7195251099238350850,luxury jewelry
7220489452875579394,
7215258636956090370,riley crystal bag
7228144438165127169,comfyclogs
7234433900541018114,low price
7234893297965547522,
7223057731854532610,comfyclogs
7221197101400588290,airpod cases
7186979832180637698,
7232211885662896129,
7221452511755960322,heaps of pockets
7089967419992719362,height increase insole
7153892602345357313,
7225594824220147713,
7203933911192190978,compression calf guards
7019390774467936257,crease protectors
7015211389330423810,comty piush sneakers
7226628268170903554,swim shorts
7226431414023913473,
7203036540095905794,skull slippers
7169574804043120641,activewear
7236020388605804545,yoga mini shin pad
7203163887767257089,coffee cup
7237387001140871169,vintage y2k clothing
7229234856583348226,foot warming pads
7234433770765320193,fire tracksuits
7198434891549065218,codex compression calf guards
7178617860880564226,
7236014441552527362,grip socks
7237256293919801345,scrubs
7235574851020275714,
7236014964300316674,jogger shin pad sleeve
7229234955402330114,foot warming pads
7229234089270132737,heated shoes soles
7203932031693111297,compression calf guards
7235591578197868545,
7236256480118259713,fire tracksuits
7229836349476945922,comfyclogs
7201026498744172545,codex compression calf guards
7172415083372380162,
7205121680946921474,foundation
7234823759852584961,velcro sports walking shoes
7172409382033850369,for summer
7221452463114452994,medical school placement
7234464664293179393,custom name and number
7172411338110566401,
7221452460023889922,
7220996846264401921,whatever you want
7215901411188408322,die hard fans only
7221438027523260417,you deserve it
7146453376048988161,fluffy yarn fleece jackets
7134863549218455554,foot pads
7234105379323363329,desliza hacia la izquierda
7177835557195546626,retro sneakers
7188368967285768194,sneakers
7233829129828794369,desliza hacia la izquierda
7014086586779598850,slides
7156406889576038401,
7202819974947602434,finally invented the sock shoes
7235636869310988289,insoles
7012617582456963074,cloud cushion slides
7156406460880551937,get a pair
7231095637075705858,t-shirt shorts
7227260509619552257,
7086564319694798850,hands down
7220960922939621378,stranger things
7156613791266619394,running errand
7171524181506834434,33% off
7165935405463273474,acquista online
7188302496548257794,sneakerlev
7225829990998294530,arch support flip flops
7155994834044698626,brunt workwear
7229794435491250177,
7217903283490258945,
7227143759878897665,lone get one for free
7235078891853201409,here we go
7178203789761150977,john
7233899591296499713,running errands
7182177812228767745,usb heated shoe insoles
7111735713298219009,best thing
7231095090445090817,casual suits
7226621074339201026,forefoot cushions
7233479890362875906,echo clogs
7221286724738121729,slides
7222770986759192577,ebubblese bubble shoes
7231520266342055937,shoes
7166359447933206530,sneakers
7138451895719723010,listen to an electrician
7210769653400141825,heels
7086564250639941633,classic clog clogs
7202568298242785282,
7225829776555376642,archies arch support flip flops
7231259958104195073,boot and the pant
7221371769863602178,arch support
7200351976121860098,bang shoes
7216356517020549121,slip on sock clogs
7193678374653313025,tie shoelaces
7188215309115342849,unisex ankle athletic socks
7235082468432527361,arch support
7205324795058569217,
7156406607143288834,slip on
7156614234642300929,"high tops, low tops"
7198545633192837121,arch support
7191996126735204354,insoles
7230281100180996098,made from lightweight materials
7219149092483219458,custom slides
7107321787537424385,comfiest thing
7220411688683732994,shark slides
7183791249081073666,heater and defroster
7234800882238439426,
7215222500346331137,
7232317615124742146,
7224945710498889730,sneaker charms
7234821031378845698,qr code
7202986140676341761,ppb swirl collection
7208877388112068609,trainers
7231983987744030721,sock clogs
7232695823061467138,for summer
7221851741720920066,mosquets atelier
7217881383794999297,
7216756842118774786,shark slides
7182516179867713538,treat yourself
7222228317742399490,
7215989710770388994,baselayer
7210710372813996033,jordan three white cement
7222280921398771713,oversized neptune hoodie
7218847176235204609,
7205896192945127426,
7227111210729717761,
7225930033901780993,sock clogs
7212292391990935554,
7190760676825055234,yoga premium grip socks
7171452121174032385,jacket
7221849096284913666,explore the collection
7195983669181431810,overshirt
7163292062497030145,
7109281167945498625,heels
7178068347640201217,uv 400 protection
7194752733505126401,trainers
7227903701477654530,pain in heels
7210710369857716226,
7210350785896251394,
7218275574866345986,height increase soles
7189336503205625857,
7222280911030272002,bando baby oversized neptune hoodie
7221538841232261121,grey tech panel cargo bottc
7211515647560826882,
7202614840300257281,you pick
7205904958133862401,
7189572681729392642,
7182154552422088706,"hoodies, leggings"
7232752948103282689,
7232001176326062081,
7236421629546201089,
7228930436947509249,
7225930059248271362,sock clogs
7048359106004172801,drizzle slides
7200270604842467329,crease protectors
7049097739632410626,
7202718849770110978,
7220926058220044290,sweatshirts
7235088171779211266,archies arch support slides
7205288100762058754,xbox game pass
7172787440180150273,og heated jacket
7215279745255374849,
7236834422191964161,
7224555423918604289,four d massage shoes insoles
7171175961752305666,black friday sale
7119464899297984514,height increase socks
7182177789621207042,usb heated shoe insoles
7171176158464458753,black friday sale
7235081161247883266,arch support
7201417769907716098,
7218939398188138498,slides
7185956976412753922,up to seventy percent off
7205861701766234114,metallic pack
7226914978288467970,last chance sales
7200063789424164865,
7181070164111966209,sneakers
7235087785291382786,grab yourself some slides today
7175285200593649665,heated jacket
7172787514351321089,og heated jacket
7231145146304249857,
7231145971992248322,free shipping worldwide
7185958346972200962,discount supplied in cart
7200422052385144833,
7231147916328337409,
7187242527275597825,
7187238287467741186,
7151329486675525633,huggy hoodie
7230912156937322498,
7231147464887615490,
7231146892540837889,crop tees
7213146710879911938,
7231146358097641473,
7168491842492973058,live now
7231154272898318338,use code tiktok20
7231140843598528514,link in bio
7204578527297994753,magnetic charger
7234572997796380674,smart watch
7226336040184954882,buy
7221830037604204545,flash sale now
7209795739336753154,smartwatch
7224074017007697921,smart watches
7217021316359847937,smartwatch
7233732362081009665,holds a charge for days
7195632739521052673,usb charging bracelet
7052168977757700097,sleep headphones
7155561504522797058,bands
7226526460332326914,hot stuff
7237500415200837634,strap and and case
7236856625994612738,watches
7206834259242500097,insomnia
7174245955806412801,wireless headphones
7234519309388300290,laptop
7235867293082583041,meet your match
7214157990630080513,headphones
7188081392128606209,
7223219585389789186,health watch
7185436679221641218,child safety matters
7147752582634356737,headphones
7229600730347716610,heart rate
7221830044858843138,upgrade today
7228826531346464770,smart watch
7224129623474618370,pingpong
7215949441605894145,smart watch
7155562610246680577,insanely comfortable
7160822378791239681,galaxy watch5
7158700536320131073,galaxywatch5pro
7218120825828392961,harmona band bluetooth headphones
7227823176018132994,
7051394760757657602,sleep headphones
7216343068109242370,blood pressure & heartrate monitor
7219188745000812545,pc essentials snooze tunes mask
7236856720052338689,smartwatches
7236856631069081602,smartwatches
7182043736896831490,musical headband
7206835582642077698,bluetooth sleep mask
7207224771511566337,insomnia
7207224782855847937,insomnia
7230856175280848898,headphones
7179755233081131009,go get yours now
7179759846635601921,so get going
7178412660072529922,smartwatch
7182778529826160642,sleep headphones
7226905326841610241,watch straps
7179760253340532737,eye strap
7226901854013505538,jewelry
7226901507560472577,watch
7226528432804560898,
7226594396573941761,space black link bracelet
7226593650435932161,grape strap
7234320895304122369,touch screen
7224392474164690945,smartwatches
7154349314042281986,smart watches
7233728739762176001,medical alert device
7205706836782546945,wireless headphones
7216626228610039810,diabetic essentials
7205330297767002114,bracelet
7224006483621183489,diabetic supplies
7233469105193369602,
7186853143417962497,bands
7216066504369881090,smart watch
7218546592315097089,diabetic essentials
7232087680766033921,carbon ox vest
7224392534918905857,smartwatches
7088368236739985410,smart watches
7223367123175735297,gps tracker
7192071929959514113,airpods
7187562742600466433,integrated flat speakers
7216066609168302081,leather stainless steel sports band
7156537239945281537,help yourself improving your position
7177118960604119041,bluetooth headband
7169595197024894977,smart watches
7115660292525490178,space crafter
7224388743418658817,wrist strap
7225648863301451777,
7172573812603961346,sale ends tonight
7224385865447047170,carbon ox titan pro
7234326145171243009,heart rate
7205440857381208066,calculator app
7226847491891576833,carbonoc smartwatc
7176463936602013697,sleep band light
7182353380554145793,bluetooth headband
7219556561479368705,diabetic essentials
7219114930447204353,smartwatch
7162129230767407106,bracelet and alarm clock
7234372667507163137,50% off limited time
7231603565336690690,blood oxygen
7218624682559569922,information alarm sedentary
7224006241004781570,diabetic essentials
7224392644234756098,smartwatches
7174997021744070658,headphones
7169936759756783617,smart watches
7107944064943439874,space crafter
7217839033345949697,find him
7202412774575030273,lightweight & durable
7220241847198072833,wireless charger
7224392516761452545,smartwatches
7229164168619261953,fitness timer
7217949940642496514,tactical pen
7183887173371117570,bluetooth headband
7215710044180905986,
7202305478260916226,diabetic essentials
